Set,AttackType,PosX,PosY,Delay,Steps
0,Horizontal,0,3,60,29
1,Horizontal,0,2,60,
2,Horizontal,0,1,60,
3,Horizontal,0,0,60,
4,Vertical,4,0,60,
5,Vertical,3,0,0,
6,Vertical,5,0,60,
7,Vertical,2,0,0,
8,Vertical,6,0,60,
9,Vertical,1,0,0,
10,Vertical,4,0,0,
11,Vertical,7,0,60,
12,Horizontal,0,3,0,
13,Horizontal,0,1,60,
14,Horizontal,0,2,0,
15,Horizontal,0,0,60,
16,Horizontal,0,3,0,
17,Horizontal,0,0,60,
18,Horizontal,0,2,0,
19,Horizontal,0,1,60,
20,Horizontal,0,3,60,
21,Horizontal,0,1,60,
22,Horizontal,0,2,60,
23,Horizontal,0,0,60,
24,Horizontal,0,0,60,
25,Horizontal,0,2,60,
26,Horizontal,0,1,60,
27,Horizontal,0,3,60,
28,Horizontal,0,3,0,
29,Horizontal,0,2,60,
30,Horizontal,0,1,0,
31,Horizontal,0,0,60,
32,Vertical,4,0,60,
33,Vertical,3,0,0,
34,Vertical,5,0,60,
35,Vertical,2,0,0,
36,Vertical,6,0,60,
37,Vertical,1,0,0,
38,Vertical,7,0,60,
39,Horizontal,0,1,0,
40,Horizontal,0,2,0,
41,Horizontal,0,3,60,
42,Horizontal,0,0,0,
43,Horizontal,0,2,0,
44,Horizontal,0,3,60,
45,Horizontal,0,0,0,
46,Horizontal,0,1,0,
47,Horizontal,0,2,60,
48,Horizontal,0,0,0,
49,Horizontal,0,1,0,
50,Horizontal,0,3,0,
